,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,old_index,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
251,9.8,0.07400000000000001,0.21,0.998,8.5,41.0,-1.0,3.02,3,16.2,0.5,197.0,0.26
253,11.7,0.028999999999999998,0.44,0.9913,5.8,5.0,-1.0,3.53,3,3.5,0.43,109.0,0.24
294,8.5,0.066,0.38,0.9968,9.1,34.0,-1.0,3.23,3,1.6,0.38,182.0,0.59
445,11.5,0.038,0.32,0.9937,7.1,16.0,-1.0,3.24,3,11.0,0.4,66.0,0.32
740,12.6,0.022000000000000002,0.4,0.9915,6.9,5.0,-1.0,3.31,3,4.6,0.37,19.0,0.39
873,9.6,0.037000000000000005,0.47,0.9939,10.3,5.0,-1.0,2.89,3,1.4,0.28,33.0,0.17
1034,9.1,0.244,0.46,0.9983,7.9,33.0,-1.0,2.87,3,10.6,0.74,227.0,0.64
1229,12.4,0.033,0.42,0.9911,8.3,18.0,-1.0,3.2,3,1.15,0.32,96.0,0.33
1417,11.0,0.057,0.35,1.0001,8.6,35.5,-1.0,3.04,3,15.55,0.63,366.5,0.55
1484,9.1,0.053,0.24,0.9958,7.5,8.0,-1.0,3.14,3,4.6,0.5,134.0,0.32
1688,9.4,0.040999999999999995,0.26,0.9949,6.7,118.5,-1.0,3.55,3,1.55,0.63,216.0,0.25
1931,11.0,0.047,0.22,0.9924,7.1,146.5,-1.0,3.24,3,2.0,0.37,307.5,0.49
2050,9.7,0.034,0.38,0.9997,11.8,15.0,-1.0,2.93,3,11.1,0.55,123.0,0.23
2373,10.4,0.034,0.37,0.99256,7.6,5.0,-1.0,3.05,3,1.2,0.54,57.0,0.48
3087,10.1,0.040999999999999995,0.34,0.995,6.1,38.0,-1.0,3.14,3,9.5,0.44,201.0,0.2
3265,8.0,0.040999999999999995,0.23,0.9968799999999999,4.2,64.0,-1.0,3.42,3,5.1,0.44,157.0,0.215
3307,11.0,0.037000000000000005,0.29,0.99395,9.4,124.0,-1.0,2.9,3,8.5,0.38,208.0,0.24
3409,11.0,0.051,0.35,0.9916,6.2,24.0,-1.0,3.37,3,0.7,0.43,111.0,0.23
3810,10.5,0.06,0.34,0.99705,6.8,42.0,-1.0,3.24,3,15.1,0.52,162.0,0.26
4745,10.5,0.047,0.25,0.9931399999999999,6.1,289.0,-1.0,3.44,3,2.9,0.64,440.0,0.26
5357,9.0,0.07400000000000001,0.66,1.0008,11.6,10.0,459.0,3.25,3,2.2,0.57,47.0,0.58
5415,8.4,0.2,0.49,0.9994,10.4,5.0,517.0,3.16,3,2.1,0.63,16.0,0.61
5588,10.7,0.09699999999999999,0.0,0.9966,7.4,5.0,690.0,3.63,3,4.25,0.54,14.0,1.185
5730,9.9,0.145,0.42,0.9983200000000001,10.4,34.0,832.0,3.38,3,1.5,0.86,48.0,0.44
5797,11.0,0.084,0.02,0.99892,8.3,6.0,899.0,3.48,3,3.4,0.49,11.0,1.02
6197,10.9,0.13699999999999998,0.0,0.9947600000000001,7.6,5.0,1299.0,3.5,3,2.1,0.4,9.0,1.58
6272,9.8,0.267,0.0,0.99471,6.8,16.0,1374.0,3.32,3,1.2,0.51,29.0,0.815
6367,9.7,0.061,0.05,0.99705,7.3,20.0,1469.0,3.31,3,2.1,0.55,49.0,0.98
6376,10.2,0.08199999999999999,0.05,0.99808,7.1,3.0,1478.0,3.4,3,5.7,0.52,14.0,0.875
6403,9.95,0.078,0.02,0.996,6.7,6.0,1505.0,3.55,3,1.8,0.63,12.0,0.76
46,9.8,0.063,0.26,0.9940000000000001,6.2,63.0,-1.0,3.27,4,4.4,0.52,206.0,0.45
98,10.1,0.038,0.46,0.9956,9.8,4.0,-1.0,2.89,4,10.5,0.3,83.0,0.36
115,9.7,0.065,0.0,0.9940000000000001,5.5,8.0,-1.0,3.63,4,1.5,0.4,103.0,0.485
147,9.0,0.057999999999999996,0.14,0.9951,6.4,15.0,-1.0,3.38,4,5.2,0.36,97.0,0.595
172,11.4,0.037000000000000005,0.37,0.9902,7.6,4.0,-1.0,3.03,4,0.8,0.39,100.0,0.48
176,12.6,0.044000000000000004,0.47,0.991,7.2,19.0,-1.0,3.03,4,5.1,0.41,65.0,0.32
178,8.7,0.06,0.07,0.9931,6.0,9.0,-1.0,3.11,4,1.2,0.35,108.0,0.67
189,8.9,0.047,0.28,0.9962,6.5,54.0,-1.0,3.09,4,8.5,0.54,210.0,0.28
204,10.2,0.053,0.35,0.9924,5.8,36.0,-1.0,3.28,4,2.3,0.5,114.0,0.28
207,9.9,0.049,0.88,0.9968,10.2,20.0,-1.0,2.99,4,6.2,0.51,124.0,0.44
230,8.9,0.062,0.08,0.9972,6.8,26.0,-1.0,3.37,4,9.7,0.46,142.0,0.64
250,10.0,0.053,0.28,0.9964,5.9,40.0,-1.0,3.72,4,4.6,0.7,199.0,0.21
259,11.4,0.037000000000000005,0.38,0.9904,5.8,3.0,-1.0,3.28,4,0.9,0.34,75.0,0.36
278,10.6,0.044000000000000004,0.34,0.9919,6.8,14.0,-1.0,3.05,4,1.2,0.47,67.0,0.32
282,10.5,0.047,0.37,0.9938,6.8,46.0,-1.0,3.08,4,5.1,0.65,201.0,0.44
433,9.2,0.10800000000000001,0.09,0.9938,7.2,16.0,-1.0,3.07,4,1.5,0.57,151.0,0.55
496,8.6,0.040999999999999995,0.62,0.9976,7.2,70.0,-1.0,3.08,4,10.8,0.49,189.0,0.4
526,12.5,0.04,0.46,0.9906,7.2,3.0,-1.0,3.04,4,5.0,0.53,29.0,0.31
540,11.4,0.04,0.31,0.9953,6.7,10.0,-1.0,3.46,4,9.9,0.55,175.0,0.31
626,9.1,0.096,0.12,0.9983,7.6,22.0,-1.0,3.32,4,10.4,0.45,177.0,0.56
641,9.0,0.054000000000000006,0.25,0.9979,6.1,34.0,-1.0,3.25,4,12.9,0.43,189.0,0.28
646,9.5,0.061,0.72,0.993,6.5,7.0,-1.0,3.09,4,1.1,0.57,151.0,0.33
659,10.0,0.038,0.16,0.9922,6.8,122.5,-1.0,3.15,4,1.4,0.47,234.5,0.29
662,9.2,0.094,0.1,0.9972,7.0,23.0,-1.0,3.4,4,8.3,0.47,188.0,0.57
687,9.0,0.29,0.3,0.9984,6.8,22.0,-1.0,3.08,4,13.0,0.67,193.0,0.67
690,10.1,0.043,0.34,0.9935,6.9,25.0,-1.0,3.31,4,1.9,0.6,136.0,0.2
702,10.1,0.042,0.18,0.9927,6.6,20.0,-1.0,3.22,4,1.2,0.45,84.0,0.38
780,11.2,0.042,0.0,0.99135,6.0,7.0,-1.0,3.37,4,1.4,0.38,55.0,0.395
